id,hominus,mindhr,htype,species_id,literature_id,id-2,iupac,formula,trivial,casrn,inchikey,subcat_id
203,8.4E-6,2500,L,28,744,28,dinitrogen tetrafluoride,N2F4,tetrafluorohydrazine,10036-47-2,GFADZIUESKAXAK-UHFFFAOYSA-N,4
204,9.2E-4,2000,L,29,603,29,chlorine (molecular),Cl2,,7782-50-5,KZBUYRJDOAKODT-UHFFFAOYSA-N,5
205,9.2E-4,2000,L,29,602,29,chlorine (molecular),Cl2,,7782-50-5,KZBUYRJDOAKODT-UHFFFAOYSA-N,5
206,9.0E-4,2500,L,29,744,29,chlorine (molecular),Cl2,,7782-50-5,KZBUYRJDOAKODT-UHFFFAOYSA-N,5
231,6.5,5900,L,32,603,32,hypochlorous acid,HOCl,,7790-92-3,QWPPOHNGKGFGJK-UHFFFAOYSA-N,5
232,6.5,5900,L,32,602,32,hypochlorous acid,HOCl,,7790-92-3,QWPPOHNGKGFGJK-UHFFFAOYSA-N,5
233,6.5,5900,L,32,343,32,hypochlorous acid,HOCl,,7790-92-3,QWPPOHNGKGFGJK-UHFFFAOYSA-N,5
242,1.7E-1,1800,L,35,603,35,dichlorine monoxide,Cl2O,,7791-21-1,RCJVRSBWZCNNQT-UHFFFAOYSA-N,5
243,1.7E-1,1800,L,35,602,35,dichlorine monoxide,Cl2O,,7791-21-1,RCJVRSBWZCNNQT-UHFFFAOYSA-N,5
244,1.7E-1,1800,L,35,744,35,dichlorine monoxide,Cl2O,,7791-21-1,RCJVRSBWZCNNQT-UHFFFAOYSA-N,5
